id,genre
1,Fiction
2,Dystopia
3,Science Fiction
4,Feminism
5,Audiobook
6,Classics
7,Adult
8,Romance
9,Contemporary
10,Literary Fiction
11,Ireland
12,Mystery
13,Fantasy
14,Magical Realism
15,Adult Fiction
16,Family
17,Mental Health
18,Race
19,Poetry
20,LGBT
21,Queer
22,Historical Fiction
23,Chick Lit
24,Short Stories
25,Novels
26,Realistic Fiction
27,Humor
28,Womens Fiction
29,Book Club
30,Irish Literature
31,New York
32,Marriage
33,Gay
34,Horror
35,Thriller
36,Mystery Thriller
37,Suspense
38,Crime
39,Psychological Thriller
40,Australia
41,Canada
42,Russia
43,Detective
44,Music
45,Historical
46,African American
47,World War II
48,War
49,Asia
50,Time Travel
51,Historical Romance
52,World War I
53,Holocaust
54,Books About Books
55,Coming Of Age
56,Adventure
57,Retellings
58,Medieval
59,Paranormal
60,Urban Fantasy
61,High Fantasy
62,Dragons
63,Epic Fantasy
64,Lesbian
65,Young Adult
66,Mythology
67,Magic
68,Vampires
69,Werewolves
70,Africa
71,Science Fiction Fantasy
72,Epic
73,Dark Fantasy
74,New Adult
75,Contemporary Romance
76,Paranormal Romance
77,Dark
78,High School
79,Sports
80,Sports Romance
81,Regency
82,Novella
83,Space Opera
84,Space
85,Speculative Fiction
86,British Literature
87,Cyberpunk
88,Post Apocalyptic
89,Apocalyptic
90,Star Wars
91,Aliens
92,Ghosts
93,Anthologies
94,Gothic
95,Monsters
96,Weird Fiction
97,Southern Gothic
98,Supernatural
99,Travel
100,Nonfiction
101,Memoir
102,Biography
103,Comedy
104,Autobiography
105,Plays
106,Essays
107,Southern
108,Nature
109,Animals
110,Birds
111,Science
112,Politics
113,Self Help
114,Pop Culture
115,Christmas
116,Medical
117,Medicine
118,Biography Memoir
119,Research
120,Film
121,Art
122,Personal Development
123,Business
124,Inspirational
125,True Crime
126,Psychology
127,Journalism
128,Philosophy
129,Sociology
130,Womens
131,History
132,Social Justice
133,Writing
134,Mental Illness
135,Disability
136,Economics
137,Anti Racist
138,Religion
139,Faith
140,Poverty
141,Italy
142,Witches
143,Technology
144,Health
145,Death
146,Adoption
147,American History
148,Law
149,American Revolution
150,France
151,Espionage
152,The United States Of America
153,Anthropology
154,American Revolutionary War
155,Military History
156,Military Fiction
157,India
158,Biology
159,Physics
160,Comics
161,Productivity
162,Environment
163,Climate Change
164,Sustainability
165,Food
166,Neuroscience
167,Genetics
168,Linguistics
169,Language
170,Popular Science
171,Quantum Mechanics
172,Cookbooks
173,Cooking
174,Food and Drink
175,Parenting
176,Foodie
177,Reference
178,Vegan
179,Nutrition
180,Graphic Novels
181,Japan
182,Culinary
183,Graphic Novels Comics
184,Superheroes
185,Dc Comics
186,Steampunk
187,Comic Book
188,Greek Mythology
189,Love
190,Relationships
191,Ukraine
192,Queer Lit
193,Young Adult Fantasy
194,Fantasy Romance
195,Young Adult Romance
196,Young Adult Contemporary
197,Spain
198,Transgender
199,Fae
200,Middle Grade
201,Childrens
202,Picture Books
203,Juvenile
204,Cultural
205,Storytime
206,Unicorns
207,Kids
208,School
209,Pirates
210,Back To School
211,Muslims
212,Fairy Tales
213,Fractured Fairy Tales
214,Teaching
215,Social Issues
216,Dinosaurs
217,Aeroplanes
218,Holiday
219,Nigeria
220,Drama
221,Murder Mystery
222,Civil War
223,Literature
224,Westerns
225,China
226,Asian Literature
227,Scotland
228,M M Romance
229,Football
230,Alternate History
231,Zombies
232,Tv
233,Presidents
234,Christian
235,Christian Living
236,Communication
237,Gender
238,Theology
239,Christianity
240,Banned Books
241,Cults
242,Ecology
243,Astronomy
244,Outdoors
245,Evolution
246,Artificial Intelligence
247,Computer Science
248,Wine
249,Food and Wine
250,Cuisine
251,Manga
252,Bande Dessinée
253,Batman
254,American
255,21st Century
256,Poetry Plays
257,Abuse
258,Buddhism
259,Education
260,Gardening
261,Activism
262,Cozy Mystery
263,Star Trek
264,Dogs
265,Leadership
266,Archaeology
267,Survival
268,Spirituality
269,Historical Fantasy
270,Autistic Spectrum Disorder
271,Diary
272,Fashion
273,Dungeons and Dragons
274,Role Playing Games
275,Gaming
276,Latin American History
277,Jewish
278,Manhwa
279,Native Americans
280,Sudan
281,Romania
282,Halloween
283,Basketball
284,Hockey
285,Reverse Harem
286,Climate Change Fiction
287,Design
288,Witchcraft
289,World History
290,European History
291,Finance
292,Media Tie In
